"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 27 17:27:20 GMT 2024","Wed Mar 27 17:27:21 GMT 2024","1162","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadTest","SelenideDownloadTest()",""
"broken","Wed Mar 27 17:27:30 GMT 2024","Wed Mar 27 17:27:31 GMT 2024","1463","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadChromeJson","SelenideDownloadChromeJson()",""
"passed","Wed Mar 27 17:27:45 GMT 2024","Wed Mar 27 17:27:51 GMT 2024","5251","","junit.ThirdTest","","junit.ThirdTest","fistTest","fistTest()",""
"failed","Wed Mar 27 17:27:13 GMT 2024","Wed Mar 27 17:27:20 GMT 2024","7074","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideUploadTest","SelenideUploadTest()",""
"passed","Wed Mar 27 17:26:46 GMT 2024","Wed Mar 27 17:26:47 GMT 2024","1332","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Велосипеды отображается сайт www.velostrana.ru",""
"passed","Wed Mar 27 17:27:12 GMT 2024","Wed Mar 27 17:27:13 GMT 2024","1478","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadXls","SelenideDownloadXls()",""
"passed","Wed Mar 27 17:27:20 GMT 2024","Wed Mar 27 17:27:20 GMT 2024","6","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadJson","SelenideDownloadJson()",""
"passed","Wed Mar 27 17:26:35 GMT 2024","Wed Mar 27 17:26:36 GMT 2024","946","","junit.JunitTest","","junit.JunitTest","fistTest","fistTest()",""
"passed","Wed Mar 27 17:26:48 GMT 2024","Wed Mar 27 17:27:05 GMT 2024","16073","","junit.SecondTest","","junit.SecondTest","fistTest","fistTest()",""
"broken","Wed Mar 27 17:27:13 GMT 2024","Wed Mar 27 17:27:13 GMT 2024","2","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZip","SelenideDownloadZip()",""
"failed","Wed Mar 27 17:26:27 GMT 2024","Wed Mar 27 17:26:35 GMT 2024","8035","","junit.FourtTest","","junit.FourtTest","fistTest","fistTest()",""
"passed","Wed Mar 27 17:26:47 GMT 2024","Wed Mar 27 17:26:48 GMT 2024","1397","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Мячики отображается сайт www.ozon.ru",""
"passed","Wed Mar 27 17:27:13 GMT 2024","Wed Mar 27 17:27:13 GMT 2024","112","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadImprovedJson","SelenideDownloadImprovedJson()",""
"failed","Wed Mar 27 17:27:21 GMT 2024","Wed Mar 27 17:27:30 GMT 2024","8549","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZipo","SelenideDownloadZipo()",""
"passed","Wed Mar 27 17:27:30 GMT 2024","Wed Mar 27 17:27:30 GMT 2024","1","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadResourcesCsv","SelenideDownloadResourcesCsv()",""
"failed","Wed Mar 27 17:26:38 GMT 2024","Wed Mar 27 17:26:45 GMT 2024","7055","","junit.PageObjectsTest","","junit.PageObjectsTest","fistTest","fistTest()",""
"failed","Wed Mar 27 17:27:31 GMT 2024","Wed Mar 27 17:27:45 GMT 2024","13848","","junit.TestBankRF","","junit.TestBankRF","career","career()",""
"passed","Wed Mar 27 17:26:15 GMT 2024","Wed Mar 27 17:26:27 GMT 2024","12419","","junit.FirstTest","","junit.FirstTest","fistTest","fistTest()",""
"passed","Wed Mar 27 17:27:08 GMT 2024","Wed Mar 27 17:27:12 GMT 2024","3560","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadPDF","SelenideDownloadPDF()",""
"failed","Wed Mar 27 17:27:05 GMT 2024","Wed Mar 27 17:27:08 GMT 2024","3487","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadCsv","SelenideDownloadCsv()",""
"broken","Wed Mar 27 17:26:48 GMT 2024","Wed Mar 27 17:26:48 GMT 2024","3","","junit.RegistrationPageObjectStep","","junit.RegistrationPageObjectStep","testStep","testStep()",""
