"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 17 17:44:13 GMT 2024","Sun Mar 17 17:44:14 GMT 2024","1375","","junit.JunitTest","","junit.JunitTest","fistTest","fistTest()",""
"passed","Sun Mar 17 17:43:50 GMT 2024","Sun Mar 17 17:44:02 GMT 2024","11744","","junit.FirstTest","","junit.FirstTest","fistTest","fistTest()",""
"broken","Sun Mar 17 17:44:58 GMT 2024","Sun Mar 17 17:44:58 GMT 2024","2","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZip","SelenideDownloadZip()",""
"passed","Sun Mar 17 17:45:15 GMT 2024","Sun Mar 17 17:45:15 GMT 2024","1","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadResourcesCsv","SelenideDownloadResourcesCsv()",""
"broken","Sun Mar 17 17:44:26 GMT 2024","Sun Mar 17 17:44:26 GMT 2024","3","","junit.RegistrationPageObjectStep","","junit.RegistrationPageObjectStep","testStep","testStep()",""
"passed","Sun Mar 17 17:45:05 GMT 2024","Sun Mar 17 17:45:06 GMT 2024","1196","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadTest","SelenideDownloadTest()",""
"passed","Sun Mar 17 17:44:58 GMT 2024","Sun Mar 17 17:44:58 GMT 2024","75","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadImprovedJson","SelenideDownloadImprovedJson()",""
"failed","Sun Mar 17 17:45:06 GMT 2024","Sun Mar 17 17:45:15 GMT 2024","8812","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZipo","SelenideDownloadZipo()",""
"failed","Sun Mar 17 17:44:42 GMT 2024","Sun Mar 17 17:44:51 GMT 2024","8582","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadCsv","SelenideDownloadCsv()",""
"failed","Sun Mar 17 17:44:02 GMT 2024","Sun Mar 17 17:44:13 GMT 2024","11192","","junit.FourtTest","","junit.FourtTest","fistTest","fistTest()",""
"failed","Sun Mar 17 17:44:16 GMT 2024","Sun Mar 17 17:44:23 GMT 2024","6962","","junit.PageObjectsTest","","junit.PageObjectsTest","fistTest","fistTest()",""
"passed","Sun Mar 17 17:45:29 GMT 2024","Sun Mar 17 17:45:35 GMT 2024","5456","","junit.ThirdTest","","junit.ThirdTest","fistTest","fistTest()",""
"failed","Sun Mar 17 17:45:16 GMT 2024","Sun Mar 17 17:45:29 GMT 2024","13385","","junit.TestBankRF","","junit.TestBankRF","career","career()",""
"passed","Sun Mar 17 17:45:05 GMT 2024","Sun Mar 17 17:45:05 GMT 2024","5","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadJson","SelenideDownloadJson()",""
"failed","Sun Mar 17 17:44:58 GMT 2024","Sun Mar 17 17:45:05 GMT 2024","7096","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideUploadTest","SelenideUploadTest()",""
"passed","Sun Mar 17 17:44:55 GMT 2024","Sun Mar 17 17:44:57 GMT 2024","2229","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadXls","SelenideDownloadXls()",""
"passed","Sun Mar 17 17:44:26 GMT 2024","Sun Mar 17 17:44:42 GMT 2024","16090","","junit.SecondTest","","junit.SecondTest","fistTest","fistTest()",""
"broken","Sun Mar 17 17:45:15 GMT 2024","Sun Mar 17 17:45:16 GMT 2024","1059","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadChromeJson","SelenideDownloadChromeJson()",""
"passed","Sun Mar 17 17:44:51 GMT 2024","Sun Mar 17 17:44:55 GMT 2024","4287","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadPDF","SelenideDownloadPDF()",""
"passed","Sun Mar 17 17:44:24 GMT 2024","Sun Mar 17 17:44:25 GMT 2024","1294","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Велосипеды отображается сайт www.velostrana.ru",""
"passed","Sun Mar 17 17:44:25 GMT 2024","Sun Mar 17 17:44:26 GMT 2024","1427","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Мячики отображается сайт www.ozon.ru",""
