"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Mar 12 17:11:22 GMT 2024","Tue Mar 12 17:11:52 GMT 2024","30030","","junit.FourtTest","","junit.FourtTest","fistTest","fistTest()",""
"passed","Tue Mar 12 17:12:04 GMT 2024","Tue Mar 12 17:12:06 GMT 2024","1983","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Мячики отображается сайт www.ozon.ru",""
"broken","Tue Mar 12 17:12:55 GMT 2024","Tue Mar 12 17:12:56 GMT 2024","1147","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadChromeJson","SelenideDownloadChromeJson()",""
"passed","Tue Mar 12 17:11:52 GMT 2024","Tue Mar 12 17:11:53 GMT 2024","1445","","junit.JunitTest","","junit.JunitTest","fistTest","fistTest()",""
"passed","Tue Mar 12 17:12:55 GMT 2024","Tue Mar 12 17:12:55 GMT 2024","1","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadResourcesCsv","SelenideDownloadResourcesCsv()",""
"passed","Tue Mar 12 17:12:06 GMT 2024","Tue Mar 12 17:12:22 GMT 2024","16136","","junit.SecondTest","","junit.SecondTest","fistTest","fistTest()",""
"passed","Tue Mar 12 17:12:32 GMT 2024","Tue Mar 12 17:12:34 GMT 2024","1779","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadXls","SelenideDownloadXls()",""
"failed","Tue Mar 12 17:12:44 GMT 2024","Tue Mar 12 17:12:55 GMT 2024","10289","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZipo","SelenideDownloadZipo()",""
"passed","Tue Mar 12 17:12:42 GMT 2024","Tue Mar 12 17:12:44 GMT 2024","2124","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadTest","SelenideDownloadTest()",""
"passed","Tue Mar 12 17:12:34 GMT 2024","Tue Mar 12 17:12:34 GMT 2024","81","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadImprovedJson","SelenideDownloadImprovedJson()",""
"passed","Tue Mar 12 17:13:12 GMT 2024","Tue Mar 12 17:13:18 GMT 2024","5954","","junit.ThirdTest","","junit.ThirdTest","fistTest","fistTest()",""
"broken","Tue Mar 12 17:12:06 GMT 2024","Tue Mar 12 17:12:06 GMT 2024","6","","junit.RegistrationPageObjectStep","","junit.RegistrationPageObjectStep","testStep","testStep()",""
"passed","Tue Mar 12 17:12:42 GMT 2024","Tue Mar 12 17:12:42 GMT 2024","5","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadJson","SelenideDownloadJson()",""
"failed","Tue Mar 12 17:12:22 GMT 2024","Tue Mar 12 17:12:27 GMT 2024","4989","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadCsv","SelenideDownloadCsv()",""
"failed","Tue Mar 12 17:12:34 GMT 2024","Tue Mar 12 17:12:42 GMT 2024","7861","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideUploadTest","SelenideUploadTest()",""
"failed","Tue Mar 12 17:11:55 GMT 2024","Tue Mar 12 17:12:02 GMT 2024","7005","","junit.PageObjectsTest","","junit.PageObjectsTest","fistTest","fistTest()",""
"broken","Tue Mar 12 17:12:34 GMT 2024","Tue Mar 12 17:12:34 GMT 2024","1","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZip","SelenideDownloadZip()",""
"passed","Tue Mar 12 17:11:10 GMT 2024","Tue Mar 12 17:11:22 GMT 2024","12273","","junit.FirstTest","","junit.FirstTest","fistTest","fistTest()",""
"passed","Tue Mar 12 17:12:03 GMT 2024","Tue Mar 12 17:12:04 GMT 2024","1064","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Велосипеды отображается сайт www.velostrana.ru",""
"passed","Tue Mar 12 17:12:27 GMT 2024","Tue Mar 12 17:12:32 GMT 2024","5136","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadPDF","SelenideDownloadPDF()",""
"failed","Tue Mar 12 17:12:56 GMT 2024","Tue Mar 12 17:13:12 GMT 2024","15782","","junit.TestBankRF","","junit.TestBankRF","career","career()",""
