"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 16 17:52:50 GMT 2024","Sat Mar 16 17:53:06 GMT 2024","16151","","junit.SecondTest","","junit.SecondTest","fistTest","fistTest()",""
"passed","Sat Mar 16 17:53:19 GMT 2024","Sat Mar 16 17:53:22 GMT 2024","2399","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadXls","SelenideDownloadXls()",""
"broken","Sat Mar 16 17:52:50 GMT 2024","Sat Mar 16 17:52:50 GMT 2024","2","","junit.RegistrationPageObjectStep","","junit.RegistrationPageObjectStep","testStep","testStep()",""
"passed","Sat Mar 16 17:53:42 GMT 2024","Sat Mar 16 17:53:42 GMT 2024","1","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadResourcesCsv","SelenideDownloadResourcesCsv()",""
"passed","Sat Mar 16 17:52:35 GMT 2024","Sat Mar 16 17:52:36 GMT 2024","1531","","junit.JunitTest","","junit.JunitTest","fistTest","fistTest()",""
"broken","Sat Mar 16 17:53:22 GMT 2024","Sat Mar 16 17:53:22 GMT 2024","2","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZip","SelenideDownloadZip()",""
"failed","Sat Mar 16 17:53:31 GMT 2024","Sat Mar 16 17:53:42 GMT 2024","10562","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZipo","SelenideDownloadZipo()",""
"passed","Sat Mar 16 17:53:30 GMT 2024","Sat Mar 16 17:53:31 GMT 2024","1443","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadTest","SelenideDownloadTest()",""
"passed","Sat Mar 16 17:53:57 GMT 2024","Sat Mar 16 17:54:03 GMT 2024","6071","","junit.ThirdTest","","junit.ThirdTest","fistTest","fistTest()",""
"failed","Sat Mar 16 17:53:06 GMT 2024","Sat Mar 16 17:53:15 GMT 2024","9242","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadCsv","SelenideDownloadCsv()",""
"passed","Sat Mar 16 17:53:22 GMT 2024","Sat Mar 16 17:53:22 GMT 2024","78","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadImprovedJson","SelenideDownloadImprovedJson()",""
"passed","Sat Mar 16 17:53:30 GMT 2024","Sat Mar 16 17:53:30 GMT 2024","8","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadJson","SelenideDownloadJson()",""
"failed","Sat Mar 16 17:53:43 GMT 2024","Sat Mar 16 17:53:57 GMT 2024","13739","","junit.TestBankRF","","junit.TestBankRF","career","career()",""
"passed","Sat Mar 16 17:52:47 GMT 2024","Sat Mar 16 17:52:50 GMT 2024","2221","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Мячики отображается сайт www.ozon.ru",""
"failed","Sat Mar 16 17:52:25 GMT 2024","Sat Mar 16 17:52:35 GMT 2024","10029","","junit.FourtTest","","junit.FourtTest","fistTest","fistTest()",""
"passed","Sat Mar 16 17:52:12 GMT 2024","Sat Mar 16 17:52:25 GMT 2024","12538","","junit.FirstTest","","junit.FirstTest","fistTest","fistTest()",""
"passed","Sat Mar 16 17:53:15 GMT 2024","Sat Mar 16 17:53:19 GMT 2024","4305","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadPDF","SelenideDownloadPDF()",""
"failed","Sat Mar 16 17:53:22 GMT 2024","Sat Mar 16 17:53:30 GMT 2024","8156","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideUploadTest","SelenideUploadTest()",""
"passed","Sat Mar 16 17:52:46 GMT 2024","Sat Mar 16 17:52:47 GMT 2024","1317","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Велосипеды отображается сайт www.velostrana.ru",""
"broken","Sat Mar 16 17:53:42 GMT 2024","Sat Mar 16 17:53:43 GMT 2024","1405","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadChromeJson","SelenideDownloadChromeJson()",""
"failed","Sat Mar 16 17:52:37 GMT 2024","Sat Mar 16 17:52:45 GMT 2024","7631","","junit.PageObjectsTest","","junit.PageObjectsTest","fistTest","fistTest()",""
