"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 17 18:27:48 GMT 2024","Sun Mar 17 18:27:49 GMT 2024","1683","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Велосипеды отображается сайт www.velostrana.ru",""
"passed","Sun Mar 17 18:27:37 GMT 2024","Sun Mar 17 18:27:38 GMT 2024","1184","","junit.JunitTest","","junit.JunitTest","fistTest","fistTest()",""
"passed","Sun Mar 17 18:28:11 GMT 2024","Sun Mar 17 18:28:16 GMT 2024","4745","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadPDF","SelenideDownloadPDF()",""
"passed","Sun Mar 17 18:27:51 GMT 2024","Sun Mar 17 18:28:07 GMT 2024","16150","","junit.SecondTest","","junit.SecondTest","fistTest","fistTest()",""
"passed","Sun Mar 17 18:28:16 GMT 2024","Sun Mar 17 18:28:19 GMT 2024","2292","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadXls","SelenideDownloadXls()",""
"failed","Sun Mar 17 18:27:28 GMT 2024","Sun Mar 17 18:27:37 GMT 2024","8528","","junit.FourtTest","","junit.FourtTest","fistTest","fistTest()",""
"broken","Sun Mar 17 18:27:51 GMT 2024","Sun Mar 17 18:27:51 GMT 2024","8","","junit.RegistrationPageObjectStep","","junit.RegistrationPageObjectStep","testStep","testStep()",""
"failed","Sun Mar 17 18:28:19 GMT 2024","Sun Mar 17 18:28:26 GMT 2024","7574","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideUploadTest","SelenideUploadTest()",""
"passed","Sun Mar 17 18:27:49 GMT 2024","Sun Mar 17 18:27:51 GMT 2024","1274","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Мячики отображается сайт www.ozon.ru",""
"passed","Sun Mar 17 18:27:16 GMT 2024","Sun Mar 17 18:27:28 GMT 2024","12129","","junit.FirstTest","","junit.FirstTest","fistTest","fistTest()",""
"failed","Sun Mar 17 18:28:07 GMT 2024","Sun Mar 17 18:28:11 GMT 2024","4756","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadCsv","SelenideDownloadCsv()",""
"passed","Sun Mar 17 18:28:26 GMT 2024","Sun Mar 17 18:28:28 GMT 2024","1580","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadTest","SelenideDownloadTest()",""
"broken","Sun Mar 17 18:28:19 GMT 2024","Sun Mar 17 18:28:19 GMT 2024","2","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZip","SelenideDownloadZip()",""
"failed","Sun Mar 17 18:28:39 GMT 2024","Sun Mar 17 18:28:54 GMT 2024","14486","","junit.TestBankRF","","junit.TestBankRF","career","career()",""
"passed","Sun Mar 17 18:28:38 GMT 2024","Sun Mar 17 18:28:38 GMT 2024","1","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadResourcesCsv","SelenideDownloadResourcesCsv()",""
"failed","Sun Mar 17 18:27:40 GMT 2024","Sun Mar 17 18:27:47 GMT 2024","7137","","junit.PageObjectsTest","","junit.PageObjectsTest","fistTest","fistTest()",""
"passed","Sun Mar 17 18:28:54 GMT 2024","Sun Mar 17 18:29:00 GMT 2024","5794","","junit.ThirdTest","","junit.ThirdTest","fistTest","fistTest()",""
"failed","Sun Mar 17 18:28:28 GMT 2024","Sun Mar 17 18:28:38 GMT 2024","9713","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZipo","SelenideDownloadZipo()",""
"passed","Sun Mar 17 18:28:26 GMT 2024","Sun Mar 17 18:28:26 GMT 2024","12","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadJson","SelenideDownloadJson()",""
"broken","Sun Mar 17 18:28:38 GMT 2024","Sun Mar 17 18:28:39 GMT 2024","1725","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadChromeJson","SelenideDownloadChromeJson()",""
"passed","Sun Mar 17 18:28:19 GMT 2024","Sun Mar 17 18:28:19 GMT 2024","147","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadImprovedJson","SelenideDownloadImprovedJson()",""
