"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 27 17:48:04 GMT 2024","Wed Mar 27 17:48:06 GMT 2024","1573","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Велосипеды отображается сайт www.velostrana.ru",""
"failed","Wed Mar 27 17:49:01 GMT 2024","Wed Mar 27 17:49:14 GMT 2024","13492","","junit.TestBankRF","","junit.TestBankRF","career","career()",""
"passed","Wed Mar 27 17:48:07 GMT 2024","Wed Mar 27 17:48:23 GMT 2024","16021","","junit.SecondTest","","junit.SecondTest","fistTest","fistTest()",""
"failed","Wed Mar 27 17:47:56 GMT 2024","Wed Mar 27 17:48:03 GMT 2024","7272","","junit.PageObjectsTest","","junit.PageObjectsTest","fistTest","fistTest()",""
"failed","Wed Mar 27 17:48:50 GMT 2024","Wed Mar 27 17:48:59 GMT 2024","9002","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZipo","SelenideDownloadZipo()",""
"passed","Wed Mar 27 17:48:06 GMT 2024","Wed Mar 27 17:48:07 GMT 2024","1338","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Мячики отображается сайт www.ozon.ru",""
"broken","Wed Mar 27 17:48:07 GMT 2024","Wed Mar 27 17:48:07 GMT 2024","3","","junit.RegistrationPageObjectStep","","junit.RegistrationPageObjectStep","testStep","testStep()",""
"passed","Wed Mar 27 17:48:35 GMT 2024","Wed Mar 27 17:48:40 GMT 2024","4537","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadPDF","SelenideDownloadPDF()",""
"failed","Wed Mar 27 17:48:42 GMT 2024","Wed Mar 27 17:48:49 GMT 2024","7058","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideUploadTest","SelenideUploadTest()",""
"broken","Wed Mar 27 17:48:42 GMT 2024","Wed Mar 27 17:48:42 GMT 2024","2","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZip","SelenideDownloadZip()",""
"broken","Wed Mar 27 17:48:59 GMT 2024","Wed Mar 27 17:49:01 GMT 2024","1593","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadChromeJson","SelenideDownloadChromeJson()",""
"passed","Wed Mar 27 17:48:40 GMT 2024","Wed Mar 27 17:48:42 GMT 2024","2222","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadXls","SelenideDownloadXls()",""
"failed","Wed Mar 27 17:47:48 GMT 2024","Wed Mar 27 17:47:55 GMT 2024","6211","","junit.JunitTest","","junit.JunitTest","fistTest","fistTest()",""
"failed","Wed Mar 27 17:47:40 GMT 2024","Wed Mar 27 17:47:48 GMT 2024","7970","","junit.FourtTest","","junit.FourtTest","fistTest","fistTest()",""
"passed","Wed Mar 27 17:48:49 GMT 2024","Wed Mar 27 17:48:49 GMT 2024","5","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadJson","SelenideDownloadJson()",""
"failed","Wed Mar 27 17:48:23 GMT 2024","Wed Mar 27 17:48:35 GMT 2024","12312","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadCsv","SelenideDownloadCsv()",""
"passed","Wed Mar 27 17:48:49 GMT 2024","Wed Mar 27 17:48:50 GMT 2024","1142","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadTest","SelenideDownloadTest()",""
"passed","Wed Mar 27 17:47:28 GMT 2024","Wed Mar 27 17:47:40 GMT 2024","12109","","junit.FirstTest","","junit.FirstTest","fistTest","fistTest()",""
"passed","Wed Mar 27 17:48:42 GMT 2024","Wed Mar 27 17:48:42 GMT 2024","79","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadImprovedJson","SelenideDownloadImprovedJson()",""
"passed","Wed Mar 27 17:49:14 GMT 2024","Wed Mar 27 17:49:20 GMT 2024","5520","","junit.ThirdTest","","junit.ThirdTest","fistTest","fistTest()",""
"passed","Wed Mar 27 17:48:59 GMT 2024","Wed Mar 27 17:48:59 GMT 2024","1","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadResourcesCsv","SelenideDownloadResourcesCsv()",""
