"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 27 17:34:25 GMT 2024","Wed Mar 27 17:34:25 GMT 2024","7","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadJson","SelenideDownloadJson()",""
"broken","Wed Mar 27 17:34:35 GMT 2024","Wed Mar 27 17:34:36 GMT 2024","1043","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadChromeJson","SelenideDownloadChromeJson()",""
"passed","Wed Mar 27 17:34:25 GMT 2024","Wed Mar 27 17:34:26 GMT 2024","1250","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadTest","SelenideDownloadTest()",""
"passed","Wed Mar 27 17:33:11 GMT 2024","Wed Mar 27 17:33:24 GMT 2024","12784","","junit.FirstTest","","junit.FirstTest","fistTest","fistTest()",""
"passed","Wed Mar 27 17:34:15 GMT 2024","Wed Mar 27 17:34:17 GMT 2024","2237","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadXls","SelenideDownloadXls()",""
"failed","Wed Mar 27 17:33:24 GMT 2024","Wed Mar 27 17:33:32 GMT 2024","8240","","junit.FourtTest","","junit.FourtTest","fistTest","fistTest()",""
"passed","Wed Mar 27 17:34:11 GMT 2024","Wed Mar 27 17:34:15 GMT 2024","4194","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadPDF","SelenideDownloadPDF()",""
"broken","Wed Mar 27 17:33:46 GMT 2024","Wed Mar 27 17:33:46 GMT 2024","3","","junit.RegistrationPageObjectStep","","junit.RegistrationPageObjectStep","testStep","testStep()",""
"passed","Wed Mar 27 17:33:32 GMT 2024","Wed Mar 27 17:33:33 GMT 2024","1034","","junit.JunitTest","","junit.JunitTest","fistTest","fistTest()",""
"broken","Wed Mar 27 17:34:17 GMT 2024","Wed Mar 27 17:34:17 GMT 2024","2","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZip","SelenideDownloadZip()",""
"passed","Wed Mar 27 17:34:35 GMT 2024","Wed Mar 27 17:34:35 GMT 2024","1","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadResourcesCsv","SelenideDownloadResourcesCsv()",""
"failed","Wed Mar 27 17:34:17 GMT 2024","Wed Mar 27 17:34:25 GMT 2024","7267","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideUploadTest","SelenideUploadTest()",""
"passed","Wed Mar 27 17:33:45 GMT 2024","Wed Mar 27 17:33:46 GMT 2024","1661","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Мячики отображается сайт www.ozon.ru",""
"failed","Wed Mar 27 17:34:02 GMT 2024","Wed Mar 27 17:34:11 GMT 2024","8335","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadCsv","SelenideDownloadCsv()",""
"passed","Wed Mar 27 17:33:46 GMT 2024","Wed Mar 27 17:34:02 GMT 2024","16115","","junit.SecondTest","","junit.SecondTest","fistTest","fistTest()",""
"passed","Wed Mar 27 17:33:43 GMT 2024","Wed Mar 27 17:33:45 GMT 2024","1909","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Велосипеды отображается сайт www.velostrana.ru",""
"passed","Wed Mar 27 17:34:50 GMT 2024","Wed Mar 27 17:34:56 GMT 2024","5506","","junit.ThirdTest","","junit.ThirdTest","fistTest","fistTest()",""
"failed","Wed Mar 27 17:34:26 GMT 2024","Wed Mar 27 17:34:35 GMT 2024","8880","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZipo","SelenideDownloadZipo()",""
"passed","Wed Mar 27 17:34:17 GMT 2024","Wed Mar 27 17:34:17 GMT 2024","83","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadImprovedJson","SelenideDownloadImprovedJson()",""
"failed","Wed Mar 27 17:33:35 GMT 2024","Wed Mar 27 17:33:42 GMT 2024","7320","","junit.PageObjectsTest","","junit.PageObjectsTest","fistTest","fistTest()",""
"failed","Wed Mar 27 17:34:36 GMT 2024","Wed Mar 27 17:34:50 GMT 2024","14660","","junit.TestBankRF","","junit.TestBankRF","career","career()",""
