"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Mar 27 17:35:51 GMT 2024","Wed Mar 27 17:35:58 GMT 2024","7734","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideUploadTest","SelenideUploadTest()",""
"passed","Wed Mar 27 17:35:59 GMT 2024","Wed Mar 27 17:36:00 GMT 2024","1450","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadTest","SelenideDownloadTest()",""
"passed","Wed Mar 27 17:35:49 GMT 2024","Wed Mar 27 17:35:51 GMT 2024","1933","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadXls","SelenideDownloadXls()",""
"broken","Wed Mar 27 17:35:23 GMT 2024","Wed Mar 27 17:35:23 GMT 2024","4","","junit.RegistrationPageObjectStep","","junit.RegistrationPageObjectStep","testStep","testStep()",""
"failed","Wed Mar 27 17:35:39 GMT 2024","Wed Mar 27 17:35:45 GMT 2024","5966","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadCsv","SelenideDownloadCsv()",""
"passed","Wed Mar 27 17:35:23 GMT 2024","Wed Mar 27 17:35:39 GMT 2024","16024","","junit.SecondTest","","junit.SecondTest","fistTest","fistTest()",""
"passed","Wed Mar 27 17:36:10 GMT 2024","Wed Mar 27 17:36:10 GMT 2024","0","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadResourcesCsv","SelenideDownloadResourcesCsv()",""
"broken","Wed Mar 27 17:36:10 GMT 2024","Wed Mar 27 17:36:12 GMT 2024","1499","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadChromeJson","SelenideDownloadChromeJson()",""
"passed","Wed Mar 27 17:35:58 GMT 2024","Wed Mar 27 17:35:58 GMT 2024","11","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadJson","SelenideDownloadJson()",""
"passed","Wed Mar 27 17:36:28 GMT 2024","Wed Mar 27 17:36:34 GMT 2024","5993","","junit.ThirdTest","","junit.ThirdTest","fistTest","fistTest()",""
"failed","Wed Mar 27 17:36:12 GMT 2024","Wed Mar 27 17:36:28 GMT 2024","15600","","junit.TestBankRF","","junit.TestBankRF","career","career()",""
"failed","Wed Mar 27 17:35:13 GMT 2024","Wed Mar 27 17:35:20 GMT 2024","7222","","junit.PageObjectsTest","","junit.PageObjectsTest","fistTest","fistTest()",""
"failed","Wed Mar 27 17:36:00 GMT 2024","Wed Mar 27 17:36:10 GMT 2024","10495","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZipo","SelenideDownloadZipo()",""
"broken","Wed Mar 27 17:35:51 GMT 2024","Wed Mar 27 17:35:51 GMT 2024","1","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZip","SelenideDownloadZip()",""
"passed","Wed Mar 27 17:35:45 GMT 2024","Wed Mar 27 17:35:49 GMT 2024","3642","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadPDF","SelenideDownloadPDF()",""
"passed","Wed Mar 27 17:35:51 GMT 2024","Wed Mar 27 17:35:51 GMT 2024","64","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadImprovedJson","SelenideDownloadImprovedJson()",""
"passed","Wed Mar 27 17:35:10 GMT 2024","Wed Mar 27 17:35:11 GMT 2024","1088","","junit.JunitTest","","junit.JunitTest","fistTest","fistTest()",""
"passed","Wed Mar 27 17:35:22 GMT 2024","Wed Mar 27 17:35:23 GMT 2024","1378","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Мячики отображается сайт www.ozon.ru",""
"failed","Wed Mar 27 17:35:00 GMT 2024","Wed Mar 27 17:35:10 GMT 2024","9530","","junit.FourtTest","","junit.FourtTest","fistTest","fistTest()",""
"passed","Wed Mar 27 17:34:48 GMT 2024","Wed Mar 27 17:35:00 GMT 2024","12639","","junit.FirstTest","","junit.FirstTest","fistTest","fistTest()",""
"passed","Wed Mar 27 17:35:20 GMT 2024","Wed Mar 27 17:35:22 GMT 2024","1217","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Велосипеды отображается сайт www.velostrana.ru",""
