"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 18 16:18:41 GMT 2024","Mon Mar 18 16:18:43 GMT 2024","2343","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadXls","SelenideDownloadXls()",""
"passed","Mon Mar 18 16:19:01 GMT 2024","Mon Mar 18 16:19:01 GMT 2024","1","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadResourcesCsv","SelenideDownloadResourcesCsv()",""
"failed","Mon Mar 18 16:18:43 GMT 2024","Mon Mar 18 16:18:51 GMT 2024","7624","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideUploadTest","SelenideUploadTest()",""
"passed","Mon Mar 18 16:18:43 GMT 2024","Mon Mar 18 16:18:43 GMT 2024","57","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadImprovedJson","SelenideDownloadImprovedJson()",""
"passed","Mon Mar 18 16:18:51 GMT 2024","Mon Mar 18 16:18:52 GMT 2024","1217","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadTest","SelenideDownloadTest()",""
"passed","Mon Mar 18 16:17:59 GMT 2024","Mon Mar 18 16:18:00 GMT 2024","1175","","junit.JunitTest","","junit.JunitTest","fistTest","fistTest()",""
"failed","Mon Mar 18 16:18:02 GMT 2024","Mon Mar 18 16:18:09 GMT 2024","6975","","junit.PageObjectsTest","","junit.PageObjectsTest","fistTest","fistTest()",""
"passed","Mon Mar 18 16:18:09 GMT 2024","Mon Mar 18 16:18:11 GMT 2024","1921","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Велосипеды отображается сайт www.velostrana.ru",""
"failed","Mon Mar 18 16:19:04 GMT 2024","Mon Mar 18 16:19:18 GMT 2024","13356","","junit.TestBankRF","","junit.TestBankRF","career","career()",""
"broken","Mon Mar 18 16:18:13 GMT 2024","Mon Mar 18 16:18:13 GMT 2024","5","","junit.RegistrationPageObjectStep","","junit.RegistrationPageObjectStep","testStep","testStep()",""
"passed","Mon Mar 18 16:18:51 GMT 2024","Mon Mar 18 16:18:51 GMT 2024","5","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadJson","SelenideDownloadJson()",""
"failed","Mon Mar 18 16:18:29 GMT 2024","Mon Mar 18 16:18:37 GMT 2024","8284","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadCsv","SelenideDownloadCsv()",""
"passed","Mon Mar 18 16:19:18 GMT 2024","Mon Mar 18 16:19:23 GMT 2024","5484","","junit.ThirdTest","","junit.ThirdTest","fistTest","fistTest()",""
"passed","Mon Mar 18 16:17:38 GMT 2024","Mon Mar 18 16:17:50 GMT 2024","12127","","junit.FirstTest","","junit.FirstTest","fistTest","fistTest()",""
"failed","Mon Mar 18 16:18:52 GMT 2024","Mon Mar 18 16:19:01 GMT 2024","9063","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZipo","SelenideDownloadZipo()",""
"failed","Mon Mar 18 16:17:51 GMT 2024","Mon Mar 18 16:17:59 GMT 2024","8261","","junit.FourtTest","","junit.FourtTest","fistTest","fistTest()",""
"broken","Mon Mar 18 16:18:43 GMT 2024","Mon Mar 18 16:18:43 GMT 2024","1","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZip","SelenideDownloadZip()",""
"broken","Mon Mar 18 16:19:01 GMT 2024","Mon Mar 18 16:19:04 GMT 2024","2994","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadChromeJson","SelenideDownloadChromeJson()",""
"passed","Mon Mar 18 16:18:13 GMT 2024","Mon Mar 18 16:18:29 GMT 2024","16015","","junit.SecondTest","","junit.SecondTest","fistTest","fistTest()",""
"passed","Mon Mar 18 16:18:11 GMT 2024","Mon Mar 18 16:18:13 GMT 2024","1484","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Мячики отображается сайт www.ozon.ru",""
"passed","Mon Mar 18 16:18:37 GMT 2024","Mon Mar 18 16:18:41 GMT 2024","3900","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadPDF","SelenideDownloadPDF()",""
