"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Mar 23 16:27:28 GMT 2024","Sat Mar 23 16:27:28 GMT 2024","2","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZip","SelenideDownloadZip()",""
"failed","Sat Mar 23 16:27:28 GMT 2024","Sat Mar 23 16:27:36 GMT 2024","7573","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideUploadTest","SelenideUploadTest()",""
"passed","Sat Mar 23 16:27:48 GMT 2024","Sat Mar 23 16:27:48 GMT 2024","1","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadResourcesCsv","SelenideDownloadResourcesCsv()",""
"failed","Sat Mar 23 16:26:35 GMT 2024","Sat Mar 23 16:26:46 GMT 2024","10494","","junit.FourtTest","","junit.FourtTest","fistTest","fistTest()",""
"failed","Sat Mar 23 16:27:49 GMT 2024","Sat Mar 23 16:28:03 GMT 2024","14134","","junit.TestBankRF","","junit.TestBankRF","career","career()",""
"passed","Sat Mar 23 16:26:23 GMT 2024","Sat Mar 23 16:26:35 GMT 2024","12559","","junit.FirstTest","","junit.FirstTest","fistTest","fistTest()",""
"passed","Sat Mar 23 16:28:03 GMT 2024","Sat Mar 23 16:28:09 GMT 2024","5973","","junit.ThirdTest","","junit.ThirdTest","fistTest","fistTest()",""
"failed","Sat Mar 23 16:27:17 GMT 2024","Sat Mar 23 16:27:22 GMT 2024","5008","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadCsv","SelenideDownloadCsv()",""
"passed","Sat Mar 23 16:27:22 GMT 2024","Sat Mar 23 16:27:26 GMT 2024","3987","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadPDF","SelenideDownloadPDF()",""
"passed","Sat Mar 23 16:27:36 GMT 2024","Sat Mar 23 16:27:36 GMT 2024","5","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadJson","SelenideDownloadJson()",""
"passed","Sat Mar 23 16:26:59 GMT 2024","Sat Mar 23 16:27:01 GMT 2024","1775","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Мячики отображается сайт www.ozon.ru",""
"failed","Sat Mar 23 16:26:49 GMT 2024","Sat Mar 23 16:26:56 GMT 2024","7226","","junit.PageObjectsTest","","junit.PageObjectsTest","fistTest","fistTest()",""
"passed","Sat Mar 23 16:26:57 GMT 2024","Sat Mar 23 16:26:59 GMT 2024","2089","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Велосипеды отображается сайт www.velostrana.ru",""
"passed","Sat Mar 23 16:27:01 GMT 2024","Sat Mar 23 16:27:17 GMT 2024","16061","","junit.SecondTest","","junit.SecondTest","fistTest","fistTest()",""
"passed","Sat Mar 23 16:27:36 GMT 2024","Sat Mar 23 16:27:37 GMT 2024","1494","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadTest","SelenideDownloadTest()",""
"passed","Sat Mar 23 16:26:46 GMT 2024","Sat Mar 23 16:26:47 GMT 2024","1269","","junit.JunitTest","","junit.JunitTest","fistTest","fistTest()",""
"broken","Sat Mar 23 16:27:48 GMT 2024","Sat Mar 23 16:27:49 GMT 2024","1361","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadChromeJson","SelenideDownloadChromeJson()",""
"failed","Sat Mar 23 16:27:37 GMT 2024","Sat Mar 23 16:27:48 GMT 2024","10358","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZipo","SelenideDownloadZipo()",""
"passed","Sat Mar 23 16:27:26 GMT 2024","Sat Mar 23 16:27:28 GMT 2024","2484","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadXls","SelenideDownloadXls()",""
"broken","Sat Mar 23 16:27:01 GMT 2024","Sat Mar 23 16:27:01 GMT 2024","3","","junit.RegistrationPageObjectStep","","junit.RegistrationPageObjectStep","testStep","testStep()",""
"passed","Sat Mar 23 16:27:28 GMT 2024","Sat Mar 23 16:27:28 GMT 2024","88","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadImprovedJson","SelenideDownloadImprovedJson()",""
