"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 18 16:54:52 GMT 2024","Mon Mar 18 16:54:59 GMT 2024","7045","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideUploadTest","SelenideUploadTest()",""
"failed","Mon Mar 18 16:54:44 GMT 2024","Mon Mar 18 16:54:47 GMT 2024","3329","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadCsv","SelenideDownloadCsv()",""
"broken","Mon Mar 18 16:54:52 GMT 2024","Mon Mar 18 16:54:52 GMT 2024","2","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZip","SelenideDownloadZip()",""
"failed","Mon Mar 18 16:54:04 GMT 2024","Mon Mar 18 16:54:14 GMT 2024","9829","","junit.FourtTest","","junit.FourtTest","fistTest","fistTest()",""
"passed","Mon Mar 18 16:55:24 GMT 2024","Mon Mar 18 16:55:29 GMT 2024","5295","","junit.ThirdTest","","junit.ThirdTest","fistTest","fistTest()",""
"passed","Mon Mar 18 16:54:25 GMT 2024","Mon Mar 18 16:54:26 GMT 2024","1649","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Велосипеды отображается сайт www.velostrana.ru",""
"broken","Mon Mar 18 16:54:28 GMT 2024","Mon Mar 18 16:54:28 GMT 2024","3","","junit.RegistrationPageObjectStep","","junit.RegistrationPageObjectStep","testStep","testStep()",""
"passed","Mon Mar 18 16:54:52 GMT 2024","Mon Mar 18 16:54:52 GMT 2024","70","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadImprovedJson","SelenideDownloadImprovedJson()",""
"passed","Mon Mar 18 16:55:09 GMT 2024","Mon Mar 18 16:55:09 GMT 2024","1","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadResourcesCsv","SelenideDownloadResourcesCsv()",""
"failed","Mon Mar 18 16:55:00 GMT 2024","Mon Mar 18 16:55:09 GMT 2024","8679","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZipo","SelenideDownloadZipo()",""
"passed","Mon Mar 18 16:54:47 GMT 2024","Mon Mar 18 16:54:51 GMT 2024","3142","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadPDF","SelenideDownloadPDF()",""
"passed","Mon Mar 18 16:54:59 GMT 2024","Mon Mar 18 16:55:00 GMT 2024","1036","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadTest","SelenideDownloadTest()",""
"passed","Mon Mar 18 16:54:28 GMT 2024","Mon Mar 18 16:54:44 GMT 2024","16002","","junit.SecondTest","","junit.SecondTest","fistTest","fistTest()",""
"passed","Mon Mar 18 16:53:52 GMT 2024","Mon Mar 18 16:54:04 GMT 2024","12376","","junit.FirstTest","","junit.FirstTest","fistTest","fistTest()",""
"passed","Mon Mar 18 16:54:51 GMT 2024","Mon Mar 18 16:54:52 GMT 2024","1555","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadXls","SelenideDownloadXls()",""
"broken","Mon Mar 18 16:55:09 GMT 2024","Mon Mar 18 16:55:10 GMT 2024","906","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadChromeJson","SelenideDownloadChromeJson()",""
"failed","Mon Mar 18 16:55:10 GMT 2024","Mon Mar 18 16:55:24 GMT 2024","13785","","junit.TestBankRF","","junit.TestBankRF","career","career()",""
"passed","Mon Mar 18 16:54:59 GMT 2024","Mon Mar 18 16:54:59 GMT 2024","5","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadJson","SelenideDownloadJson()",""
"passed","Mon Mar 18 16:54:26 GMT 2024","Mon Mar 18 16:54:28 GMT 2024","1570","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Мячики отображается сайт www.ozon.ru",""
"failed","Mon Mar 18 16:54:17 GMT 2024","Mon Mar 18 16:54:24 GMT 2024","6949","","junit.PageObjectsTest","","junit.PageObjectsTest","fistTest","fistTest()",""
"passed","Mon Mar 18 16:54:14 GMT 2024","Mon Mar 18 16:54:15 GMT 2024","965","","junit.JunitTest","","junit.JunitTest","fistTest","fistTest()",""
