"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 17 17:47:28 GMT 2024","Sun Mar 17 17:47:29 GMT 2024","1228","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadTest","SelenideDownloadTest()",""
"passed","Sun Mar 17 17:46:52 GMT 2024","Sun Mar 17 17:47:08 GMT 2024","15911","","junit.SecondTest","","junit.SecondTest","fistTest","fistTest()",""
"failed","Sun Mar 17 17:47:39 GMT 2024","Sun Mar 17 17:47:52 GMT 2024","13503","","junit.TestBankRF","","junit.TestBankRF","career","career()",""
"passed","Sun Mar 17 17:46:46 GMT 2024","Sun Mar 17 17:46:48 GMT 2024","2584","","junit.PageObjectsTest","","junit.PageObjectsTest","fistTest","fistTest()",""
"passed","Sun Mar 17 17:47:20 GMT 2024","Sun Mar 17 17:47:21 GMT 2024","1499","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadXls","SelenideDownloadXls()",""
"failed","Sun Mar 17 17:47:29 GMT 2024","Sun Mar 17 17:47:38 GMT 2024","8392","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZipo","SelenideDownloadZipo()",""
"broken","Sun Mar 17 17:47:21 GMT 2024","Sun Mar 17 17:47:21 GMT 2024","2","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZip","SelenideDownloadZip()",""
"passed","Sun Mar 17 17:46:50 GMT 2024","Sun Mar 17 17:46:52 GMT 2024","2079","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Мячики отображается сайт www.ozon.ru",""
"passed","Sun Mar 17 17:46:43 GMT 2024","Sun Mar 17 17:46:44 GMT 2024","1035","","junit.JunitTest","","junit.JunitTest","fistTest","fistTest()",""
"broken","Sun Mar 17 17:47:38 GMT 2024","Sun Mar 17 17:47:39 GMT 2024","1060","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadChromeJson","SelenideDownloadChromeJson()",""
"passed","Sun Mar 17 17:47:52 GMT 2024","Sun Mar 17 17:47:58 GMT 2024","5317","","junit.ThirdTest","","junit.ThirdTest","fistTest","fistTest()",""
"failed","Sun Mar 17 17:47:21 GMT 2024","Sun Mar 17 17:47:28 GMT 2024","6876","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideUploadTest","SelenideUploadTest()",""
"passed","Sun Mar 17 17:46:49 GMT 2024","Sun Mar 17 17:46:50 GMT 2024","1404","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Велосипеды отображается сайт www.velostrana.ru",""
"passed","Sun Mar 17 17:47:16 GMT 2024","Sun Mar 17 17:47:20 GMT 2024","3488","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadPDF","SelenideDownloadPDF()",""
"passed","Sun Mar 17 17:47:28 GMT 2024","Sun Mar 17 17:47:28 GMT 2024","8","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadJson","SelenideDownloadJson()",""
"failed","Sun Mar 17 17:46:35 GMT 2024","Sun Mar 17 17:46:43 GMT 2024","8231","","junit.FourtTest","","junit.FourtTest","fistTest","fistTest()",""
"failed","Sun Mar 17 17:47:08 GMT 2024","Sun Mar 17 17:47:16 GMT 2024","7750","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadCsv","SelenideDownloadCsv()",""
"broken","Sun Mar 17 17:46:52 GMT 2024","Sun Mar 17 17:46:52 GMT 2024","4","","junit.RegistrationPageObjectStep","","junit.RegistrationPageObjectStep","testStep","testStep()",""
"passed","Sun Mar 17 17:47:38 GMT 2024","Sun Mar 17 17:47:38 GMT 2024","1","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadResourcesCsv","SelenideDownloadResourcesCsv()",""
"passed","Sun Mar 17 17:47:21 GMT 2024","Sun Mar 17 17:47:21 GMT 2024","54","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadImprovedJson","SelenideDownloadImprovedJson()",""
"passed","Sun Mar 17 17:46:23 GMT 2024","Sun Mar 17 17:46:35 GMT 2024","11686","","junit.FirstTest","","junit.FirstTest","fistTest","fistTest()",""
