"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 23 16:13:59 GMT 2024","Sat Mar 23 16:13:59 GMT 2024","92","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadImprovedJson","SelenideDownloadImprovedJson()",""
"passed","Sat Mar 23 16:13:21 GMT 2024","Sat Mar 23 16:13:37 GMT 2024","16186","","junit.SecondTest","","junit.SecondTest","fistTest","fistTest()",""
"failed","Sat Mar 23 16:14:18 GMT 2024","Sat Mar 23 16:14:31 GMT 2024","13135","","junit.TestBankRF","","junit.TestBankRF","career","career()",""
"broken","Sat Mar 23 16:13:21 GMT 2024","Sat Mar 23 16:13:21 GMT 2024","1","","junit.RegistrationPageObjectStep","","junit.RegistrationPageObjectStep","testStep","testStep()",""
"failed","Sat Mar 23 16:12:59 GMT 2024","Sat Mar 23 16:13:07 GMT 2024","8159","","junit.FourtTest","","junit.FourtTest","fistTest","fistTest()",""
"passed","Sat Mar 23 16:13:56 GMT 2024","Sat Mar 23 16:13:59 GMT 2024","2383","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadXls","SelenideDownloadXls()",""
"failed","Sat Mar 23 16:12:51 GMT 2024","Sat Mar 23 16:12:59 GMT 2024","8221","","junit.FirstTest","","junit.FirstTest","fistTest","fistTest()",""
"failed","Sat Mar 23 16:14:08 GMT 2024","Sat Mar 23 16:14:17 GMT 2024","9232","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZipo","SelenideDownloadZipo()",""
"broken","Sat Mar 23 16:13:59 GMT 2024","Sat Mar 23 16:13:59 GMT 2024","1","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZip","SelenideDownloadZip()",""
"failed","Sat Mar 23 16:13:59 GMT 2024","Sat Mar 23 16:14:06 GMT 2024","7372","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideUploadTest","SelenideUploadTest()",""
"broken","Sat Mar 23 16:14:17 GMT 2024","Sat Mar 23 16:14:18 GMT 2024","1429","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadChromeJson","SelenideDownloadChromeJson()",""
"failed","Sat Mar 23 16:13:10 GMT 2024","Sat Mar 23 16:13:17 GMT 2024","7360","","junit.PageObjectsTest","","junit.PageObjectsTest","fistTest","fistTest()",""
"passed","Sat Mar 23 16:14:06 GMT 2024","Sat Mar 23 16:14:06 GMT 2024","8","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadJson","SelenideDownloadJson()",""
"passed","Sat Mar 23 16:13:18 GMT 2024","Sat Mar 23 16:13:19 GMT 2024","1101","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Велосипеды отображается сайт www.velostrana.ru",""
"passed","Sat Mar 23 16:13:51 GMT 2024","Sat Mar 23 16:13:56 GMT 2024","5357","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadPDF","SelenideDownloadPDF()",""
"passed","Sat Mar 23 16:14:17 GMT 2024","Sat Mar 23 16:14:17 GMT 2024","1","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadResourcesCsv","SelenideDownloadResourcesCsv()",""
"passed","Sat Mar 23 16:13:07 GMT 2024","Sat Mar 23 16:13:08 GMT 2024","1027","","junit.JunitTest","","junit.JunitTest","fistTest","fistTest()",""
"failed","Sat Mar 23 16:13:37 GMT 2024","Sat Mar 23 16:13:51 GMT 2024","13755","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadCsv","SelenideDownloadCsv()",""
"passed","Sat Mar 23 16:14:06 GMT 2024","Sat Mar 23 16:14:08 GMT 2024","1324","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadTest","SelenideDownloadTest()",""
"passed","Sat Mar 23 16:14:31 GMT 2024","Sat Mar 23 16:14:37 GMT 2024","5475","","junit.ThirdTest","","junit.ThirdTest","fistTest","fistTest()",""
"passed","Sat Mar 23 16:13:19 GMT 2024","Sat Mar 23 16:13:21 GMT 2024","2099","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Мячики отображается сайт www.ozon.ru",""
