"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 17 16:43:10 GMT 2024","Sun Mar 17 16:43:24 GMT 2024","14329","","junit.TestBankRF","","junit.TestBankRF","career","career()",""
"passed","Sun Mar 17 16:42:04 GMT 2024","Sun Mar 17 16:42:05 GMT 2024","1004","","junit.JunitTest","","junit.JunitTest","fistTest","fistTest()",""
"passed","Sun Mar 17 16:42:51 GMT 2024","Sun Mar 17 16:42:51 GMT 2024","109","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadImprovedJson","SelenideDownloadImprovedJson()",""
"broken","Sun Mar 17 16:43:09 GMT 2024","Sun Mar 17 16:43:10 GMT 2024","1004","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadChromeJson","SelenideDownloadChromeJson()",""
"passed","Sun Mar 17 16:43:24 GMT 2024","Sun Mar 17 16:43:29 GMT 2024","5477","","junit.ThirdTest","","junit.ThirdTest","fistTest","fistTest()",""
"passed","Sun Mar 17 16:42:16 GMT 2024","Sun Mar 17 16:42:17 GMT 2024","1489","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Мячики отображается сайт www.ozon.ru",""
"failed","Sun Mar 17 16:42:33 GMT 2024","Sun Mar 17 16:42:45 GMT 2024","11949","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadCsv","SelenideDownloadCsv()",""
"passed","Sun Mar 17 16:43:09 GMT 2024","Sun Mar 17 16:43:09 GMT 2024","1","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadResourcesCsv","SelenideDownloadResourcesCsv()",""
"passed","Sun Mar 17 16:42:49 GMT 2024","Sun Mar 17 16:42:51 GMT 2024","2144","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadXls","SelenideDownloadXls()",""
"passed","Sun Mar 17 16:42:17 GMT 2024","Sun Mar 17 16:42:33 GMT 2024","16282","","junit.SecondTest","","junit.SecondTest","fistTest","fistTest()",""
"failed","Sun Mar 17 16:42:07 GMT 2024","Sun Mar 17 16:42:13 GMT 2024","6835","","junit.PageObjectsTest","","junit.PageObjectsTest","fistTest","fistTest()",""
"passed","Sun Mar 17 16:42:58 GMT 2024","Sun Mar 17 16:42:58 GMT 2024","6","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadJson","SelenideDownloadJson()",""
"passed","Sun Mar 17 16:42:45 GMT 2024","Sun Mar 17 16:42:49 GMT 2024","3427","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadPDF","SelenideDownloadPDF()",""
"failed","Sun Mar 17 16:41:56 GMT 2024","Sun Mar 17 16:42:04 GMT 2024","8337","","junit.FourtTest","","junit.FourtTest","fistTest","fistTest()",""
"broken","Sun Mar 17 16:42:51 GMT 2024","Sun Mar 17 16:42:51 GMT 2024","1","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZip","SelenideDownloadZip()",""
"passed","Sun Mar 17 16:42:14 GMT 2024","Sun Mar 17 16:42:16 GMT 2024","1358","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Велосипеды отображается сайт www.velostrana.ru",""
"passed","Sun Mar 17 16:41:44 GMT 2024","Sun Mar 17 16:41:56 GMT 2024","11796","","junit.FirstTest","","junit.FirstTest","fistTest","fistTest()",""
"passed","Sun Mar 17 16:42:58 GMT 2024","Sun Mar 17 16:43:00 GMT 2024","1198","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadTest","SelenideDownloadTest()",""
"broken","Sun Mar 17 16:42:17 GMT 2024","Sun Mar 17 16:42:17 GMT 2024","3","","junit.RegistrationPageObjectStep","","junit.RegistrationPageObjectStep","testStep","testStep()",""
"failed","Sun Mar 17 16:42:51 GMT 2024","Sun Mar 17 16:42:58 GMT 2024","7387","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideUploadTest","SelenideUploadTest()",""
"failed","Sun Mar 17 16:43:00 GMT 2024","Sun Mar 17 16:43:09 GMT 2024","8896","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZipo","SelenideDownloadZipo()",""
